2018-12-13 06:02:32,724 root         DEBUG    cpu; 0.3
2018-12-13 06:02:32,727 root         DEBUG    memory; 10.5
2018-12-13 06:02:32,729 root         DEBUG    disk; 4.5
2018-12-13 06:02:32,732 root         DEBUG    uptime; 0:10:22:32
2018-12-13 06:02:43,746 root         DEBUG    cpu; 0.0
2018-12-13 06:02:43,750 root         DEBUG    memory; 10.5
2018-12-13 06:02:43,751 root         DEBUG    disk; 4.5
2018-12-13 06:02:43,755 root         DEBUG    uptime; 0:10:22:43
2018-12-13 06:02:54,769 root         DEBUG    cpu; 0.0
2018-12-13 06:02:54,772 root         DEBUG    memory; 10.5
2018-12-13 06:02:54,774 root         DEBUG    disk; 4.5
2018-12-13 06:02:54,777 root         DEBUG    uptime; 0:10:22:54
2018-12-13 06:03:05,786 root         DEBUG    cpu; 0.0
2018-12-13 06:03:05,789 root         DEBUG    memory; 10.5
2018-12-13 06:03:05,791 root         DEBUG    disk; 4.5
2018-12-13 06:03:05,794 root         DEBUG    uptime; 0:10:23:5
2018-12-13 06:03:16,808 root         DEBUG    cpu; 0.0
2018-12-13 06:03:16,811 root         DEBUG    memory; 10.5
2018-12-13 06:03:16,813 root         DEBUG    disk; 4.5
2018-12-13 06:03:16,815 root         DEBUG    uptime; 0:10:23:16
